id,detail,address,price,url,Longitude,Latitude,"id	detail	address	price	url	Longitude	Latitude"
57,【整租】沙河 巩华家园北二村 2室1厅,巩华家园北二村,4000,http://bj.58.com/pinpaigongyu/32632982106956x.shtml?psid=196062875198568302916735332,116.272576,40.132269,"57	【整租】沙河 巩华家园北二村 2室1厅	巩华家园北二村	4000	http://bj.58.com/pinpaigongyu/32632982106956x.shtml?psid=196062875198568302916735332	116.272576	40.132269"
58,【合租】八里庄 东恒时代(三期) 4室次卧,东恒时代(三期),2800,http://bj.58.com/pinpaigongyu/32090795717048x.shtml?psid=196062875198568302916735332,116.503366,39.912222,"58	【合租】八里庄 东恒时代(三期) 4室次卧	东恒时代(三期)	2800	http://bj.58.com/pinpaigongyu/32090795717048x.shtml?psid=196062875198568302916735332	116.503366	39.912222"
59,【整租】科技园区 科技园区青年社区 1室1厅,科技园区青年社区,2200,http://bj.58.com/pinpaigongyu/32347954353339x.shtml?psid=115558934198568304576685375,116.316887,40.039625,"59	【整租】科技园区 科技园区青年社区 1室1厅	科技园区青年社区	2200	http://bj.58.com/pinpaigongyu/32347954353339x.shtml?psid=115558934198568304576685375	116.316887	40.039625"
60,【整租】沙河 巩华家园南一村 2室1厅,巩华家园南一村,4000,http://bj.58.com/pinpaigongyu/32632916393161x.shtml?psid=115558934198568304576685375,116.272576,40.132269,"60	【整租】沙河 巩华家园南一村 2室1厅	巩华家园南一村	4000	http://bj.58.com/pinpaigongyu/32632916393161x.shtml?psid=115558934198568304576685375	116.272576	40.132269"
61,【整租】百子湾 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2500,http://bj.58.com/pinpaigongyu/32557328366156x.shtml?psid=115558934198568304576685375,116.426311,39.905583,"61	【整租】百子湾 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2500	http://bj.58.com/pinpaigongyu/32557328366156x.shtml?psid=115558934198568304576685375	116.426311	39.905583"
62,【合租】三元桥 香河园中里 2室主卧,香河园中里,3580,http://bj.58.com/pinpaigongyu/32603099002313x.shtml?psid=115558934198568304576685375,116.449152,39.955595,"62	【合租】三元桥 香河园中里 2室主卧	香河园中里	3580	http://bj.58.com/pinpaigongyu/32603099002313x.shtml?psid=115558934198568304576685375	116.449152	39.955595"
63,【整租】百子湾 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2800,http://bj.58.com/pinpaigongyu/32536473962034x.shtml?psid=115558934198568304576685375,116.426311,39.905583,"63	【整租】百子湾 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2800	http://bj.58.com/pinpaigongyu/32536473962034x.shtml?psid=115558934198568304576685375	116.426311	39.905583"
64,【整租】百子湾 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2650,http://bj.58.com/pinpaigongyu/32594853436750x.shtml?psid=115558934198568304576685375,116.426311,39.905583,"64	【整租】百子湾 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2650	http://bj.58.com/pinpaigongyu/32594853436750x.shtml?psid=115558934198568304576685375	116.426311	39.905583"
65,【整租】高碑店 通盛苑 1室0厅,通盛苑,2100,http://bj.58.com/pinpaigongyu/32568286258115x.shtml?psid=115558934198568304576685375,116.407307,39.972282,"65	【整租】高碑店 通盛苑 1室0厅	通盛苑	2100	http://bj.58.com/pinpaigongyu/32568286258115x.shtml?psid=115558934198568304576685375	116.407307	39.972282"
66,【整租】花乡 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2600,http://bj.58.com/pinpaigongyu/32577703438011x.shtml?psid=115558934198568304576685375,116.426311,39.905583,"66	【整租】花乡 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2600	http://bj.58.com/pinpaigongyu/32577703438011x.shtml?psid=115558934198568304576685375	116.426311	39.905583"
67,【整租】总部基地 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2200,http://bj.58.com/pinpaigongyu/32424133420855x.shtml?psid=115558934198568304576685375,116.426311,39.905583,"67	【整租】总部基地 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2200	http://bj.58.com/pinpaigongyu/32424133420855x.shtml?psid=115558934198568304576685375	116.426311	39.905583"
68,【整租】总部基地 欣葆家园二区 1室1厅,欣葆家园二区,2200,http://bj.58.com/pinpaigongyu/32335770045886x.shtml?psid=115558934198568304576685375,116.288125,39.803297,"68	【整租】总部基地 欣葆家园二区 1室1厅	欣葆家园二区	2200	http://bj.58.com/pinpaigongyu/32335770045886x.shtml?psid=115558934198568304576685375	116.288125	39.803297"
69,【合租】永定门 天天家园 3室主卧,天天家园,2730,http://bj.58.com/pinpaigongyu/32069829534008x.shtml?psid=115558934198568304576685375,116.405418,39.864261,"69	【合租】永定门 天天家园 3室主卧	天天家园	2730	http://bj.58.com/pinpaigongyu/32069829534008x.shtml?psid=115558934198568304576685375	116.405418	39.864261"
71,【合租】洋桥 马家堡路80号院 3室主卧,马家堡路80号院,2690,http://bj.58.com/pinpaigongyu/32412531673168x.shtml?psid=115558934198568304576685375,116.382999,39.85611,"71	【合租】洋桥 马家堡路80号院 3室主卧	马家堡路80号院	2690	http://bj.58.com/pinpaigongyu/32412531673168x.shtml?psid=115558934198568304576685375	116.382999	39.85611"
72,【合租】崇文门 新景家园东区 2室主卧,新景家园东区,3000,http://bj.58.com/pinpaigongyu/32633171786192x.shtml?psid=115558934198568304576685375,116.425303,39.896159,"72	【合租】崇文门 新景家园东区 2室主卧	新景家园东区	3000	http://bj.58.com/pinpaigongyu/32633171786192x.shtml?psid=115558934198568304576685375	116.425303	39.896159"
73,【整租】太阳宫 金星园 1室1厅,金星园,3300,http://bj.58.com/pinpaigongyu/31144860173767x.shtml?psid=115558934198568304576685375,116.455453,39.967379,"73	【整租】太阳宫 金星园 1室1厅	金星园	3300	http://bj.58.com/pinpaigongyu/31144860173767x.shtml?psid=115558934198568304576685375	116.455453	39.967379"
75,【合租】惠新西街 惠新北里社区 4室主卧,惠新北里社区,2800,http://bj.58.com/pinpaigongyu/32289676536654x.shtml?psid=115558934198568304576685375,116.421391,39.983751,"75	【合租】惠新西街 惠新北里社区 4室主卧	惠新北里社区	2800	http://bj.58.com/pinpaigongyu/32289676536654x.shtml?psid=115558934198568304576685375	116.421391	39.983751"
76,【合租】八里庄 慈云寺北里 4室次卧,慈云寺北里,2000,http://bj.58.com/pinpaigongyu/32113099791029x.shtml?psid=115558934198568304576685375,116.4950378,39.9190593,"76	【合租】八里庄 慈云寺北里 4室次卧	慈云寺北里	2000	http://bj.58.com/pinpaigongyu/32113099791029x.shtml?psid=115558934198568304576685375	116.4950378	39.9190593"
77,【整租】沙河 巩华家园北二村 2室1厅,巩华家园北二村,3960,http://bj.58.com/pinpaigongyu/32580352654652x.shtml?psid=115558934198568304576685375,116.272576,40.132269,"77	【整租】沙河 巩华家园北二村 2室1厅	巩华家园北二村	3960	http://bj.58.com/pinpaigongyu/32580352654652x.shtml?psid=115558934198568304576685375	116.272576	40.132269"
78,【合租】后沙峪 三山新新家园 1室主卧,三山新新家园,2450,http://bj.58.com/pinpaigongyu/32589255236432x.shtml?psid=115558934198568304576685375,116.537571,40.096368,"78	【合租】后沙峪 三山新新家园 1室主卧	三山新新家园	2450	http://bj.58.com/pinpaigongyu/32589255236432x.shtml?psid=115558934198568304576685375	116.537571	40.096368"
79,【整租】花乡 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2600,http://bj.58.com/pinpaigongyu/32577703438011x.shtml?psid=190492908198568306210413236,116.426311,39.905583,"79	【整租】花乡 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2600	http://bj.58.com/pinpaigongyu/32577703438011x.shtml?psid=190492908198568306210413236	116.426311	39.905583"
80,【整租】总部基地 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2200,http://bj.58.com/pinpaigongyu/32424133420855x.shtml?psid=190492908198568306210413236,116.426311,39.905583,"80	【整租】总部基地 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2200	http://bj.58.com/pinpaigongyu/32424133420855x.shtml?psid=190492908198568306210413236	116.426311	39.905583"
81,【整租】总部基地 欣葆家园二区 1室1厅,欣葆家园二区,2200,http://bj.58.com/pinpaigongyu/32335770045886x.shtml?psid=190492908198568306210413236,116.288125,39.803297,"81	【整租】总部基地 欣葆家园二区 1室1厅	欣葆家园二区	2200	http://bj.58.com/pinpaigongyu/32335770045886x.shtml?psid=190492908198568306210413236	116.288125	39.803297"
82,【整租】双桥 传媒大学乐乎城市 1室1厅,传媒大学乐乎城市,2550,http://bj.58.com/pinpaigongyu/32337790458805x.shtml?psid=190492908198568306210413236,116.556581,39.912793,"82	【整租】双桥 传媒大学乐乎城市 1室1厅	传媒大学乐乎城市	2550	http://bj.58.com/pinpaigongyu/32337790458805x.shtml?psid=190492908198568306210413236	116.556581	39.912793"
83,【整租】高碑店 通盛苑 1室0厅,通盛苑,2400,http://bj.58.com/pinpaigongyu/32589238871607x.shtml?psid=190492908198568306210413236,116.407307,39.972282,"83	【整租】高碑店 通盛苑 1室0厅	通盛苑	2400	http://bj.58.com/pinpaigongyu/32589238871607x.shtml?psid=190492908198568306210413236	116.407307	39.972282"
84,【整租】高碑店 通盛苑 1室0厅,通盛苑,2650,http://bj.58.com/pinpaigongyu/32572086067890x.shtml?psid=190492908198568306210413236,116.407307,39.972282,"84	【整租】高碑店 通盛苑 1室0厅	通盛苑	2650	http://bj.58.com/pinpaigongyu/32572086067890x.shtml?psid=190492908198568306210413236	116.407307	39.972282"
85,【整租】世界公园 乐乎城市青年社区 1室1厅,乐乎城市青年社区,2200,http://bj.58.com/pinpaigongyu/32536488636108x.shtml?psid=190492908198568306210413236,116.426311,39.905583,"85	【整租】世界公园 乐乎城市青年社区 1室1厅	乐乎城市青年社区	2200	http://bj.58.com/pinpaigongyu/32536488636108x.shtml?psid=190492908198568306210413236	116.426311	39.905583"
